,TEAM 1,Dhanush Sridhar - 2018103021,Kapilesh Guruprasad - 2018103033,TOPIC WISE MULTI-DOCUMENT SUMMARIZATION,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,INPUT,,,,INTERMEDIATE RESULTS,,,,,,,FINAL RESULT,,,,
,Document 1,Document 2,Document 3,Document 4,Overall Dominant Topics  Ids,Dominant Topic Ids,Topic 4 Extracted sentences,Topic 8 Extracted sentences,Topic 2 extracted sentences,Topic 7 extracted sentences,Topic 9 Extracted sentences,Topic 4 summary,Topic 8 summary,Topic 2 summary,Topic 7 summary,Topic 9 summary
